timestamp,X,Y,Z,obs_id
1596643765363,-0.173479,0.804220,0.351067,0
1596643765397,-0.166035,0.768879,0.335744,0
1596643765431,-0.165767,0.767712,0.335557,0
1596643765464,-0.156818,0.725853,0.320922,0
1596643765499,-0.142075,0.663430,0.305717,0
1596643765532,-0.163088,0.745734,0.330106,0
1596643765570,-0.185562,0.856121,0.378986,0
1596643765604,-0.116419,0.576617,0.302792,0
1596643765637,-0.142081,0.657254,0.307932,0
1596643765673,-0.141838,0.655187,0.307581,0
1596643765706,-0.146328,0.670041,0.310944,0
1596643765738,-0.140354,0.650974,0.306980,0
1596643765772,-0.151221,0.691207,0.314928,0
1596643765805,-0.126819,0.607341,0.302369,0
1596643765841,-0.000398,0.504564,0.128255,0
1596643765873,-0.200104,0.947219,0.431282,0
1596643765916,-0.000159,0.504327,0.128262,0
1596643765955,-0.166530,0.760855,0.335646,0
1596643765990,-0.127013,0.609784,0.301203,0
1596643766023,-0.171709,0.786307,0.345827,0
1596643766057,-0.171911,0.790162,0.346762,0
1596643766088,-0.179916,0.831553,0.365452,0
1596643766120,-0.178699,0.825876,0.362760,0
1596643766153,-0.194498,0.924624,0.415056,0
1596643766186,-0.195491,0.936506,0.421486,0
1596643766220,-0.122102,0.603028,0.296257,0
1596643766254,-0.191180,0.940186,0.418953,0
1596643766287,-0.192041,0.945208,0.421790,0
1596643766326,-0.192129,0.946460,0.422936,0
1596643766362,-0.114290,0.580627,0.296033,0
1596643766396,-0.107059,0.561291,0.297247,0
1596643766430,-0.119635,0.601930,0.291599,0
1596643766465,-0.191644,0.940695,0.419408,0
1596643766497,-0.187344,0.911533,0.401502,0
1596643766531,-0.187576,0.912723,0.402287,0
1596643766564,-0.190540,0.929543,0.413296,0
1596643766598,-0.188281,0.917411,0.405243,0
1596643766636,-0.186283,0.905313,0.398198,0
1596643766672,-0.188044,0.913186,0.403401,0
1596643766714,-0.181797,0.862429,0.377276,0
1596643766746,-0.175303,0.820966,0.357376,0
1596643766780,-0.194975,0.930324,0.418337,0
1596643766815,-0.123825,0.612129,0.294445,0
1596643766857,-0.110303,0.568289,0.297694,0
1596643766891,-0.189196,0.879988,0.391617,0
1596643766925,-0.181907,0.835977,0.369285,0
1596643766957,-0.162033,0.730954,0.328615,0
1596643766990,-0.158473,0.715319,0.323749,0
1596643767023,-0.150952,0.686280,0.316950,0
1596643767054,-0.150376,0.683903,0.316240,0
1596643767086,-0.145424,0.662913,0.311640,0
1596643767126,-0.143283,0.655367,0.310460,0
1596643767162,-0.178957,0.796423,0.356856,0
1596643767195,-0.178736,0.795172,0.356414,0
1596643767229,-0.174256,0.772267,0.347347,0
1596643767261,-0.174750,0.770269,0.347558,0
1596643767295,-0.169505,0.742874,0.338730,0
1596643767329,-0.144448,0.645351,0.315895,0
1596643767363,-0.141921,0.635429,0.315538,0
1596643767397,-0.181667,0.780926,0.358255,0
1596643767431,-0.152888,0.660833,0.324477,0
1596643767466,-0.143868,0.630278,0.321049,0
1596643767501,-0.138544,0.612509,0.321097,0
1596643767533,-0.162140,0.679761,0.334212,0
1596643767570,-0.151398,0.642431,0.328922,0
1596643767604,-0.148600,0.633251,0.328594,0
1596643767640,-0.180688,0.747539,0.355047,0
1596643767673,-0.180875,0.743304,0.355173,0
1596643767705,-0.151349,0.638085,0.332297,0
1596643767739,-0.124616,0.567152,0.331364,0
1596643767772,-0.122557,0.561241,0.332126,0
1596643767806,-0.122520,0.560798,0.332238,0
1596643767839,-0.121553,0.559360,0.332809,0
1596643767873,-0.114272,0.542716,0.337072,0
1596643767914,-0.146854,0.626380,0.329157,0
1596643767949,-0.126709,0.572275,0.330362,0
1596643767986,-0.136587,0.599332,0.327741,0
1596643768022,-0.372746,0.287701,0.135046,0
1596643768055,-0.093580,0.505702,0.344046,0
1596643768086,-0.096174,0.511526,0.339175,0
1596643768121,-0.330573,0.175675,0.113485,0
1596643768154,-0.329895,0.181381,0.115109,0
1596643768184,-0.328994,0.175878,0.122803,0
1596643768216,-0.331097,0.183429,0.129288,0
1596643768254,-0.317397,0.194837,0.121136,0
1596643768287,-0.322186,0.192459,0.137365,0
1596643768325,-0.299325,0.151900,0.126368,0
1596643768358,-0.296634,0.145459,0.132277,0
1596643768391,-0.293183,0.140414,0.135206,0
1596643768424,-0.289776,0.140556,0.140629,0
1596643768457,-0.281162,0.140129,0.144897,0
1596643768491,-0.290772,0.171160,0.161555,0
1596643768522,-0.283905,0.175636,0.163896,0
1596643768556,-0.269349,0.144963,0.163076,0
1596643768589,-0.239394,0.117913,0.149065,0
1596643768623,-0.237220,0.105622,0.151721,0
1596643768657,-0.246696,0.121979,0.159519,0
1596643768695,-0.243230,0.114821,0.161279,0
1596643768730,-0.238193,0.080951,0.166944,0
1596643768763,-0.232615,0.062162,0.172155,0
1596643768798,-0.234200,0.085387,0.177264,0
1596643768834,-0.232136,0.067410,0.183331,0
1596643768865,-0.236624,0.081101,0.186355,0
1596643768897,-0.242205,0.070020,0.192250,0
1596643768932,-0.247517,0.072364,0.196454,0
1596643768964,-0.248793,0.077172,0.193519,0
1596643768998,-0.253088,0.077079,0.194419,0
1596643769032,-0.260151,0.077523,0.195569,0
1596643769072,-0.261605,0.078080,0.194608,0
1596643769112,-0.263905,0.074844,0.195494,0
1596643769146,-0.230768,0.199594,0.028697,0
1596643769181,-0.268363,0.065713,0.196652,0
1596643769215,-0.235585,0.195177,0.016550,0
1596643769247,-0.240155,0.191218,0.013116,0
1596643769279,-0.243406,0.187636,0.005098,0
1596643769319,-0.247234,0.184087,-0.003852,0
1596643769354,-0.251542,0.180350,-0.012875,0
1596643769388,-0.255999,0.177188,-0.022265,0
1596643769424,-0.260377,0.171218,-0.029078,0
1596643769458,-0.000524,0.504663,0.128592,0
1596643769496,0.000621,0.503871,0.126928,0
1596643769530,-0.000700,0.504573,0.128308,0
1596643769561,0.000488,0.503937,0.127137,0
1596643769593,-0.000749,0.504726,0.128436,0
1596643769627,-0.000175,0.504339,0.127456,0
1596643769662,-0.000581,0.504803,0.128606,0
1596643769696,0.000018,0.504572,0.127692,0
1596643769730,-0.000364,0.504444,0.128433,0
1596643769763,-0.150144,0.544782,0.428943,0
1596643769799,0.000013,0.504610,0.128538,0
1596643769836,0.000902,0.504368,0.128382,0
1596643769871,0.000052,0.504404,0.128725,0
1596643769914,0.000778,0.504236,0.127817,0
1596643769958,0.000320,0.504655,0.129093,0
1596643769996,0.000013,0.504610,0.128538,0
1596643770037,0.000649,0.504457,0.128241,0
1596643770074,0.000045,0.504500,0.128360,0
1596643770112,-0.000188,0.504303,0.128190,0
1596643770154,-0.000272,0.504508,0.128213,0
1596643770192,-0.000144,0.504253,0.128139,0
1596643770236,-0.000375,0.504338,0.128525,0
1596643770273,-0.000388,0.504233,0.127938,0
1596643770313,-0.000508,0.504323,0.128199,0
1596643770346,0.000078,0.504244,0.127718,0
1596643770380,-0.000429,0.504404,0.128196,0
1596643770414,-0.000037,0.504191,0.127291,0
1596643770447,-0.000578,0.504401,0.128188,0
1596643770481,0.000079,0.504115,0.127416,0
1596643770521,-0.000561,0.504379,0.128232,0
1596643770554,-0.000364,0.504439,0.128435,0
1596643770588,0.000314,0.503986,0.127504,0
1596643770621,-0.000373,0.504252,0.128278,0
1596643770653,0.000354,0.504247,0.128250,0
1596643770689,0.000072,0.504556,0.128956,0
1596643770725,0.000062,0.504146,0.127816,0
1596643770757,-0.000012,0.504052,0.128022,0
1596643770791,0.000204,0.504402,0.127945,0
1596643770823,-0.000115,0.504056,0.127532,0
1596643770856,0.000096,0.504318,0.128024,0
1596643770891,-0.000297,0.504326,0.128384,0
1596643770922,-0.000001,0.504159,0.127928,0
1596643770956,-0.000082,0.504249,0.128023,0
1596643770989,-0.000190,0.504134,0.127625,0
1596643771022,-0.000508,0.504323,0.128199,0
1596643771055,-0.000500,0.504414,0.128327,0
1596643771090,-0.000246,0.504289,0.127923,0
1596643771125,-0.000584,0.504310,0.128062,0
1596643771158,0.000029,0.504489,0.127820,0
1596643771190,-0.000452,0.504311,0.128312,0
1596643771222,-0.000081,0.504099,0.127734,0
1596643771257,0.000091,0.504095,0.127406,0
1596643771290,0.000446,0.504232,0.128085,0
1596643771324,-0.000231,0.504356,0.128302,0
1596643771357,0.000300,0.504119,0.127376,0
1596643771389,-0.000297,0.504326,0.128384,0
1596643771422,-0.000127,0.504617,0.128436,0
1596643771456,0.000019,0.504583,0.128545,0
1596643771490,-0.208314,0.630039,0.446972,0
1596643771525,-0.209477,0.634809,0.444657,0
1596643771561,-0.210648,0.637965,0.445356,0
1596643771594,-0.212520,0.643610,0.443139,0
1596643771630,-0.213419,0.645614,0.443291,0
1596643771665,-0.215361,0.650502,0.443256,0
1596643771703,-0.215648,0.652990,0.441899,0
1596643771738,-0.217872,0.657921,0.442037,0
1596643771772,-0.219532,0.663118,0.441725,0
1596643771805,-0.220953,0.666456,0.442395,0
1596643771839,-0.222281,0.670420,0.442378,0
1596643771873,-0.222634,0.673560,0.440794,0
1596643771913,-0.224709,0.678554,0.442271,0
1596643771948,-0.224783,0.681550,0.440728,0
1596643771979,-0.226408,0.685313,0.441667,0
1596643772012,-0.227817,0.689286,0.442164,0
1596643772047,-0.228197,0.691768,0.441618,0
1596643772083,-0.229832,0.695009,0.443250,0
